0,1,2,portfolio
96.76,74.06,58.75,19375.985000000088
96.91,74.86,58.34,19375.985000000113
96.69,73.49,58.21,19332.205000000093
100.53,71.19,60.04,18727.305000000095
100.75,71.28,59.56,18750.97500000009
101.5,71.25,59.04,18587.69500000009
103.01,70.95,58.7,18864.024999999998
101.87,71.01,58.0,18879.925
101.03,71.1,57.6,18903.774999999998
101.12,71.48,57.07,18903.774999999965
101.17,71.22,57.52,18913.07499999999
102.26,71.2,57.59,18907.77499999999
102.52,71.83,58.65,18907.77499999993
104.58,71.97,59.08,19286.81499999993
105.97,72.24,59.67,19542.574999999903
105.8,72.83,59.55,19701.8749999999
105.92,72.59,59.7,19701.874999999945
105.91,73.12,59.1,19700.014999999916
106.72,73.71,59.38,19858.72499999991
106.13,73.15,58.83,19858.72499999993
105.67,72.59,58.36,19772.704999999933
105.19,73.37,58.96,19682.944999999898
107.68,74.09,59.55,19875.9049999999
109.56,74.89,60.01,19875.90499999994
108.99,75.7,59.7,19773.294999999944
109.99,76.11,61.02,20210.214999999916
111.12,76.32,60.25,20417.004999999917
109.81,75.71,60.04,20177.06500000005
110.96,76.09,60.83,20278.14499999996
108.54,74.99,61.17,20391.36499999996
108.66,75.24,61.04,20348.07499999996
109.02,74.88,60.9,20301.454999999896
110.44,75.04,59.5,20565.57499999976
112.04,75.37,60.21,20655.99499999976
112.1,75.31,60.13,20655.994999999784
109.85,75.64,60.51,20786.334999999803
107.48,75.69,60.89,20338.404999999806
106.91,75.97,60.9,20230.674999999803
107.13,75.55,60.9,20272.254999999903
105.97,74.99,60.64,20122.174999999905
105.68,75.56,57.68,20274.93499999983
105.08,75.51,57.77,20306.524999999776
104.35,75.9,57.72,20165.634999999762
97.82,76.04,56.9,20202.734999999764
94.83,75.34,56.42,20202.734999999706
93.74,75.19,56.23,19970.564999999704
93.64,76.0,57.36,19949.264999999705
95.18,74.96,56.25,20277.284999999705
94.19,74.22,56.39,20277.284999999727
93.24,74.25,56.25,20073.034999999727
92.72,70.54,56.31,19961.234999999728
92.79,70.82,56.64,19976.28499999973
93.42,71.05,57.49,20111.734999999833
92.51,70.07,56.23,19834.394999999833
90.34,71.11,56.3,19834.394999999804
90.52,70.62,55.82,19873.814999999802
93.88,70.83,55.53,20609.654999999715
93.49,69.89,54.88,20337.054999999713
94.56,69.46,54.8,20212.354999999712
94.2,68.72,54.55,19997.754999999714
95.22,68.75,54.62,20006.484999999713
96.43,68.78,54.6,20015.214999999713
97.9,69.68,55.44,20015.214999999705
99.62,69.35,55.15,20366.094999999703
100.41,69.4,55.29,20527.254999999677
100.35,69.5,55.15,20556.754999999677
99.86,69.27,54.89,20556.754999999615
98.46,69.06,54.82,20269.754999999583
97.72,68.8,54.62,20193.57499999958
97.92,68.47,54.61,20193.574999999633
98.63,68.77,55.59,20339.834999999526
99.03,68.16,55.3,20159.88499999953
98.94,69.05,55.22,20159.88499999955
99.65,68.56,55.58,20304.01499999952
98.83,67.45,54.865,19975.454999999518
97.34,66.82,55.04,19788.974999999515
97.46,67.24,55.57,19913.294999999594
97.14,67.54,55.35,19834.534999999592
97.55,67.8,55.53,19898.974999999667
95.33,67.33,55.31,19448.314999999606
95.1,68.35,55.38,19742.074999999604
95.91,67.81,55.81,19586.554999999604
95.55,67.43,55.61,19586.554999999506
96.1,68.01,56.13,19769.594999999514
93.4,64.73,54.68,19216.094999999616
92.04,63.08,53.69,18727.694999999614
93.59,63.69,54.85,18908.25499999961
94.4,64.55,56.74,19162.814999999613
95.6,65.97,57.12,19162.814999999613
95.89,66.01,56.99,19162.814999999613
94.99,64.77,56.77,19162.8149999996
95.53,65.3,56.75,19271.3549999996
95.94,65.05,56.91,19353.764999999705
96.68,66.38,56.51,19748.774999999703
96.98,66.62,56.32,19748.774999999776
97.42,67.4,57.48,19838.094999999765
96.87,67.46,56.48,19855.73499999976
98.79,67.58,57.59,19855.73499999966
98.78,67.4,57.41,19853.73499999966
