0,1,2,portfolio
108.43,80.38,53.93,23549.62999999999
105.71,80.6,54.22,22959.38999999999
107.11,81.8,54.59,23263.189999999988
109.99,80.51,55.44,23888.149999999987
109.95,80.35,55.85,23879.46999999999
110.06,79.98,55.77,23903.33999999999
111.73,79.83,56.1,24265.72999999999
111.8,80.31,57.12,24280.919999999987
111.23,80.26,57.59,24157.22999999999
111.79,80.98,57.43,24278.74999999999
111.57,80.86,57.59,24231.009999999987
111.46,81.11,58.17,24207.13999999999
110.52,80.25,57.97,24003.15999999999
109.49,79.19,58.51,23779.649999999987
109.9,79.5,57.21,23868.61999999999
109.11,80.92,57.5,23697.189999999988
109.95,82.22,57.44,23879.46999999999
111.03,83.27,58.76,24113.82999999999
112.12,83.3,58.65,24350.35999999999
113.95,82.79,58.75,24747.46999999999
113.3,82.6,58.77,24606.419999999987
115.19,83.24,59.31,25016.54999999999
115.19,82.9,58.75,25016.54999999999
115.82,83.46,57.71,25153.259999999987
115.97,83.4,57.66,25185.809999999987
116.64,83.93,57.65,25331.19999999999
116.95,83.76,57.7,25398.46999999999
117.06,84.0,57.44,25422.33999999999
116.29,83.72,57.11,25255.24999999999
116.52,83.41,57.01,25305.15999999999
117.26,83.52,56.86,25465.73999999999
116.76,82.86,56.35,25357.23999999999
116.73,82.87,56.32,25350.72999999999
115.82,82.89,55.52,25153.259999999987
116.15,83.6,55.35,25224.86999999999
116.02,83.49,55.99,25196.65999999999
116.61,82.64,56.46,25324.689999999988
117.91,82.89,57.13,25606.789999999986
118.99,83.02,58.2,25841.149999999987
119.11,82.63,57.88,25867.189999999988
119.75,82.88,58.1,26006.06999999999
119.25,82.18,58.03,25897.56999999999
119.04,82.27,57.85,25851.99999999999
120.0,80.73,58.0,26060.31999999999
119.99,81.65,58.45,26058.149999999987
119.78,81.86,57.89,26012.57999999999
120.0,82.36,57.66,26060.31999999999
120.08,82.44,57.76,26077.67999999999
119.97,84.35,58.44,26053.809999999987
121.88,85.29,58.7,26468.279999999988
121.94,83.36,58.46,26481.29999999999
121.95,82.98,56.12,26483.46999999999
121.63,81.7,55.9,26414.029999999988
121.35,80.71,55.22,26353.269999999986
128.75,80.03,53.9,27959.06999999999
128.53,81.0,53.87,27911.32999999999
129.08,81.6,55.06,28030.679999999993
130.29,81.73,55.73,28293.249999999985
131.53,77.34,55.24,28562.32999999999
132.04,78.25,55.22,28672.999999999985
132.42,77.81,55.81,28755.459999999985
132.12,78.37,56.22,28690.35999999999
133.29,78.48,56.11,28944.249999999985
135.02,78.68,56.58,29319.659999999993
135.51,79.4,56.86,29425.989999999987
135.345,78.66,56.73,29390.184999999987
135.72,79.31,57.35,29471.559999999987
136.7,80.15,57.54,29684.219999999987
137.11,79.65,57.57,29773.18999999999
136.53,79.36,57.64,29647.32999999999
136.66,80.27,57.48,29675.539999999986
136.93,79.28,56.78,29734.12999999999
136.99,78.97,56.87,29747.14999999999
139.79,79.98,57.14,30354.749999999985
138.96,80.02,57.12,30174.639999999992
139.78,80.55,57.1,30174.640000000178
139.34,79.97,56.68,29957.720000000176
139.52,79.66,56.2,29841.780000000177
139.0,80.2,55.74,30043.740000000176
138.68,81.37,55.19,30481.320000000178
139.14,82.1,54.53,30754.340000000175
139.2,81.65,54.63,30586.04000000018
138.99,83.36,54.27,31225.580000000176
140.46,85.24,54.54,31928.700000000175
140.69,85.15,54.8,31895.04000000018
139.99,84.72,55.78,31734.220000000176
141.46,84.3,55.81,31577.140000000178
139.84,83.76,55.54,31375.18000000018
141.42,83.59,55.89,31311.600000000177
140.92,83.74,55.85,31367.700000000175
140.64,83.67,56.81,31341.52000000018
140.88,84.0,57.23,31464.940000000177
143.8,84.0,57.35,31464.940000000177
144.12,84.13,57.54,31513.560000000176
143.93,84.87,58.16,31790.320000000178
143.66,86.22,58.39,32295.220000000176
143.7,84.83,58.44,31775.360000000175
144.77,84.52,58.32,31659.420000000177
144.02,83.83,58.22,31401.360000000175
143.66,84.2,57.92,31539.740000000176
143.34,84.25,58.02,31558.440000000177
143.17,83.71,57.95,31356.480000000174
141.63,83.45,57.88,31259.240000000176
141.8,82.84,57.58,31031.100000000177
141.05,82.34,57.51,30844.100000000177
141.83,83.08,58.08,31120.860000000175
141.2,82.64,58.35,30956.300000000178
140.68,83.37,59.04,31229.320000000178
142.44,84.1,60.08,31502.340000000175
142.27,83.72,60.61,31360.220000000176
143.64,84.72,61.11,31734.220000000176
144.53,85.39,60.96,31984.800000000178
143.68,85.38,61.56,31981.060000000176
143.79,86.07,61.3,32239.120000000174
143.65,85.97,60.06,32201.720000000176
146.58,86.16,60.18,32272.780000000177
147.51,85.92,60.5,32183.02000000018
147.06,86.37,60.59,32351.320000000178
146.53,86.1,60.83,32250.340000000175
148.96,84.44,60.95,31629.500000000175
153.01,83.59,60.94,31311.600000000177
153.99,84.77,60.98,31752.920000000177
153.26,85.77,60.66,32126.920000000177
153.95,85.36,60.27,31973.580000000176
156.1,84.21,59.93,31543.480000000174
155.7,84.48,60.45,31644.460000000177
155.47,83.7,59.98,31352.740000000176
150.25,81.85,59.73,30660.840000000175
152.54,80.83,59.82,30279.360000000175
153.06,80.83,61.36,30279.360000000175
153.99,82.93,61.23,31064.76000000018
153.8,82.11,61.15,30758.080000000176
153.34,82.22,61.89,30799.220000000176
153.87,82.27,62.9,30817.920000000177
153.61,81.86,63.3,30664.580000000176
153.67,82.83,63.26,31027.360000000175
152.76,83.57,63.61,31304.120000000174
153.18,85.64,63.75,32078.300000000178
155.45,86.62,64.57,32444.820000000178
153.93,87.31,64.27,32702.88000000018
154.45,87.46,64.16,32758.980000000174
155.37,86.18,63.5,32280.26000000018
154.99,86.65,62.24,32456.04000000018
148.98,86.17,62.19,32276.52000000018
145.42,86.11,61.29,32254.080000000176
146.59,86.04,60.92,32227.90000000018
145.16,84.87,60.27,31790.320000000178
144.29,84.45,60.09,31633.240000000176
142.27,84.72,60.14,31734.220000000176
146.34,86.2,60.9,32287.740000000176
145.01,85.74,59.86,32115.700000000175
145.87,86.24,59.96,32302.700000000175
145.63,87.36,59.51,32721.580000000176
146.28,88.64,59.81,33200.30000000018
145.82,88.42,59.64,33118.02000000018
143.73,87.72,58.96,32856.220000000176
145.83,88.13,59.18,33009.56000000017
143.68,86.8,58.36,32512.140000000178
144.02,86.74,58.31,32489.700000000175
143.5,86.68,58.25,32467.26000000018
144.09,86.83,57.94,32523.360000000175
142.73,85.96,57.6,32197.980000000174
144.18,87.31,58.04,32702.88000000018
145.06,87.23,57.81,32672.960000000177
145.53,87.65,57.9,32830.040000000175
145.74,88.65,58.54,33204.040000000175
147.77,88.33,58.38,33084.360000000175
149.04,88.61,58.76,33189.08000000018
149.56,88.28,58.33,33065.66000000018
150.08,88.45,58.21,33129.24000000018
151.02,89.78,58.11,33626.66000000018
150.34,89.96,58.03,33693.98000000018
150.27,90.52,57.98,33903.42000000017
152.09,90.67,58.02,33959.52000000018
152.74,91.39,58.55,34228.80000000018
153.46,91.84,57.94,34397.10000000018
150.56,92.21,59.5,34535.48000000018
149.5,91.01,54.0,31345.480000000178
148.73,90.68,53.98,31345.480000000178
158.59,90.43,54.73,31345.480000000178
157.14,90.43,55.43,31345.48000000004
155.57,90.4,55.68,31486.73000000004
156.39,90.37,55.44,31486.73000000004
158.81,89.2,55.63,31486.73000000004
160.08,88.58,54.52,31486.73000000004
161.06,88.51,53.74,31486.72999999965
155.32,86.99,53.07,31094.77999999965
157.48,87.48,53.18,31094.779999999508
159.85,88.6,53.22,31118.13999999951
161.6,87.92,53.15,31118.139999999185
160.95,88.19,53.5,31322.889999999185
157.86,87.13,53.04,31322.889999998806
157.5,87.37,52.7,31122.289999998808
157.21,87.2,53.15,31122.289999998484
159.78,86.41,54.45,31882.789999998484
159.98,86.21,54.08,31882.789999998004
159.27,86.51,53.94,31800.329999998004
159.86,86.88,54.36,31800.32999999777
161.47,87.3,54.4,31823.689999997772
162.91,86.94,54.1,31823.689999998107
163.35,87.66,54.52,32070.64999999811
